,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg,SensorID,lat,lon
0,28.72658978026052,19.19831314403061,15.224668027560133,14.885978111617712,28.203409567814465,92.23809727536091,170.0809562517571,103.02262627991215,106.33314142290784,155.2444201330742,224.8715004869065,248.51717842780133,245.302367302701,237.38776601596402,220.45561735261398,208.5181958382737,196.19543876590595,197.67327779747131,183.32367812017426,142.13199301625332,114.11471415125477,89.76822089664137,68.406988228679,47.150466330110376,131.5406501135436,899707,33.914120000000004,-84.2869
0,1732.324051754697,1034.3681495923433,751.0059907834102,704.3760486825003,906.3719071251328,2346.357272834692,5650.287977076689,7980.347571783057,8394.389158690774,7870.258649415101,7463.6965496868725,7624.502398676591,7792.884125014769,7886.4878175587855,8026.966075859624,8329.575552404585,8079.160480916932,7840.175818267753,7585.512678719129,6864.2116684390885,5473.317210209146,4764.876568592697,3857.057904998228,2764.4761786600493,5488.457825239278,1210456,33.87719,-84.36443
0,1129.6933593288436,756.8499763677182,559.606073496396,521.0573909961006,552.994859978731,1011.8339950372208,1833.61644215999,2818.1032907952263,2983.0058489897197,2737.8734373153725,2780.677200756233,2960.3872090275318,3236.466004962779,3448.757987711214,3662.1154082476655,3903.2141439205952,4177.349787309465,4400.756250738509,3889.445846626491,3194.0758123596834,2769.208229942101,2393.460126432707,1988.8299716412619,1589.7524636653666,2470.797129908622,1215419,33.69747,-84.42271
0,2944.0177301193435,2038.1855902162354,1622.50209145693,1713.5800661703886,2251.9129623065105,4796.9724388514705,7563.399208318565,8136.433410138249,7607.6822935129385,7685.996301547913,8254.281212336049,8536.445066761195,8984.369047619048,9460.091474654377,9971.966064043483,10374.73075150656,10444.602475481506,10235.679044074206,9511.097252747251,8524.89943873331,7334.789737681674,6323.13956043956,5410.101370672338,4276.168090511638,6833.460111662532,1215463,33.67633,-84.39741
0,5163.553580290677,3417.7421540824766,2600.9493855606765,2784.225333805979,4074.838278388279,8181.728612785066,12253.758808933,11929.677543424319,11434.493991492378,12358.921812596009,13646.394475954154,14148.510386387805,14621.190056717476,15127.695480326129,15551.481218244122,15864.108797116864,16004.250419473003,15929.190062625546,15139.163505848992,14013.943861514828,12524.738195675292,11055.540730237504,9623.225906888809,7595.376893536571,11043.529145496079,1215468,33.70881,-84.40227
0,5897.7732718894,3894.5217476072307,2939.536452794517,3080.9402989483638,4047.384828075151,8707.722332506204,13562.52326598133,13500.749361928396,12948.826799007444,14080.33219307574,15378.921871676712,15712.779658513533,15818.383351057542,15818.16488833747,15537.670967741937,14921.296331088266,14252.580532907949,13803.686139666785,14263.262749615971,14655.893252983577,13546.077868368191,12281.775286541417,10763.389483634644,8621.982281696797,11584.840633985188,1215474,33.758520000000004,-84.37856
0,1007.4981803143093,669.728370554177,507.999917287014,492.25847808105874,563.3675765095121,1194.5457402812242,2377.3939619520265,3208.0026468155493,3422.2562448304384,3245.763110008272,3183.6988420181965,3297.1765095119927,3412.483622828784,3494.977832919768,3591.1553349875926,3715.096691480562,3790.2704714640204,3705.014805624483,3446.181968569065,3029.531927212572,2527.5232423490493,2216.7753515301897,1901.5226633581476,1485.6175351530187,2478.576709401709,1215486,33.8027,-84.40639
0,2672.504082476663,1814.0993619283945,1437.1997045964788,1426.5552227342548,1749.1607467801014,3692.0230060262325,5852.655411792509,7382.024613021386,7233.421044546851,6903.809352475481,6870.931088266571,7006.022781519556,7423.44263854425,7961.432393950135,8648.804885974241,9518.942207255111,9877.604531490017,9709.6305033676,8926.159523809523,7392.9806628855,6225.853219898382,5425.026757650951,4762.516572137539,3772.728772302965,5986.897045226279,1215498,33.758790000000005,-84.477
0,3226.6508602150543,2229.8766397849467,1758.4625716845876,1692.0444086021505,1942.7447759856632,3936.208637992832,6190.898853046596,7679.127007168457,7845.549032258064,7967.782903225804,8013.4262992831555,8241.605125448028,8823.441603942654,9345.090815412186,9985.448745519712,10874.011603942652,11127.086353046596,10594.849883512548,9959.656227598565,8574.17971326165,7350.078682795699,6461.341980286739,5699.695725806451,4584.474193548387,6837.65552680705,1215505,33.742909999999995,-84.40256
0,3824.4521505376338,2565.134172279334,1947.4133463310886,1823.378193312064,2047.2243058017252,4307.863889873567,7300.496466973886,8490.138638780574,8642.487723029659,9156.496449249677,9413.094576391353,9699.121499468272,10356.178364646108,10926.3544546851,11565.100490369849,12370.283244712275,12468.52019969278,12072.50431879948,11518.065248729763,10092.899503722083,8699.324748907007,7729.3116625310195,6761.758543069834,5418.5114616566225,7883.171402231282,1215508,33.743140000000004,-84.37869
0,423.14835164835165,263.63621056363,173.8024636653669,201.8474831619993,395.3139844026941,813.7146401985112,1303.021978021978,1374.8966678482807,1306.9641970932291,1265.3142502658632,1339.2546969159873,1412.2390996100671,1496.2644452321872,1554.3283410138247,1614.1532258064515,1679.7029422190712,1683.704005671748,1727.5499822757886,1577.9403580290673,1391.7267812832326,1237.3251506557958,1064.521269053527,908.587912087912,676.4671215880892,1120.2260649296938,1215524,33.67238,-84.41434
0,2547.7232955216823,1672.433203355784,1268.617281105991,1258.8244653196264,1834.4575209736506,4622.828778211037,9649.229794399147,10976.55818858561,10906.51602859506,11141.141202883136,11456.524683918233,11723.837817558786,12062.468586789555,12273.03358738036,12430.232707077868,12368.709452912675,12047.669408011345,11790.346986884082,11380.982547559966,10347.823141911851,8290.539920831858,6699.902546378354,5399.54581117807,3923.689235495687,8253.068174701644,1215546,33.904,-84.43628000000001
0,2814.686765922249,1754.9599669148056,1293.6500413564931,1267.8445822994208,1679.1688172043011,3859.9306038047966,7113.270719602979,7703.073366418526,7599.557568238213,7948.849793217535,8244.524069478908,8390.949793217535,8495.01811414392,8540.100909842846,8597.415467328368,8423.567493796527,8159.397766749379,7870.051695616212,7863.190157154674,7762.040694789082,6829.390901571546,6221.0286186931335,5383.212241521919,4173.191066997519,6166.1696339950395,1215969,33.80723,-84.3798
0,2246.6698170942886,1467.3356625391666,1162.1827123747591,1248.117802442274,1707.8978111617712,3597.323532659405,6730.993481361057,9467.175069572622,10193.759907834105,8940.198658256833,8329.95292143896,8484.479812327087,8868.720054232012,9111.097345646569,9678.675796876463,10531.402066194836,10862.53914463364,10705.492134728449,9520.61286614757,7726.735966906656,6049.793564074044,5163.962743096725,4395.147308160879,3363.216529354961,6648.061779546462,1216370,33.8743,-84.44614
0,250.88921777147587,163.11223561384853,133.05933475127023,125.92784473590928,120.8678305565402,289.76388987356734,905.3638189767224,1363.2285300720785,1394.5756114852886,1201.9763559021624,1025.816796644216,997.7922367954626,1060.7435129386743,1098.9951908306746,1096.6092520382842,1336.313901689708,1547.978346921895,1599.6780987829377,1469.6639430462012,926.1118988538344,699.6376344086021,660.0159045255821,552.0431820867303,396.70327307101496,850.7028267655284,1219072,33.898590000000006,-84.3616
